"Date","Time","Test Total Time",,
"03/04/24","16:41:04","(hh:mm:ss): 2:39:58",,
,,,,
"Rated Capacity","Tested Capacity",,,
"15.30 Ah","8.00 Ah",,,
,,,,
"Cells","Battery Type","Battery Weight",,
"6","AGM","0.000 lbs",,
"Battery Age","Battery Manufacturer","Battery Notes",,
"1.000 mo","","",,
,,,,
"Sample Rate",,,,
"1.000",,,,
,,,,
"Test Current","Graph Type",,,
"3.000 Amps","Minutes",,,
,,,,
"Test","Time (s)","Voltage (V)","Current","Temp (F)"
"Miscanthus-12A-3-4-2024","111.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","112.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","113.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","114.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","115.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","116.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","117.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","118.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","119.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","120.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","121.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","122.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","123.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","124.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","125.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","126.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","127.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","128.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","129.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","130.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","131.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","132.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","133.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","134.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","135.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","136.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","137.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","138.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","139.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","140.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","141.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","142.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","143.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","144.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","145.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","146.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","147.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","148.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","149.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","150.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","151.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","152.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","153.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","154.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","155.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","156.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","157.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","158.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","159.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","160.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","161.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","162.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","163.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","164.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","165.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","166.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","167.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","168.000","12.673","3.000","999.90"
"Miscanthus-12A-3-4-2024","169.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","170.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","171.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","172.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","173.000","12.665","3.000","999.90"
"Miscanthus-12A-3-4-2024","174.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","175.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","176.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","177.000","12.669","3.000","999.90"
"Miscanthus-12A-3-4-2024","178.000","12.669","3.000","999.90"
